Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2017","2017","ha","19793","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","221","Almonds, with shell","2017","2017","hg/ha","13788","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","221","Almonds, with shell","2017","2017","tonnes","27291","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","711","Anise, badian, fennel, coriander","2017","2017","ha","28873","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","711","Anise, badian, fennel, coriander","2017","2017","hg/ha","6830","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","711","Anise, badian, fennel, coriander","2017","2017","tonnes","19719","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","515","Apples","2017","2017","ha","26847","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","515","Apples","2017","2017","hg/ha","65184","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","515","Apples","2017","2017","tonnes","175000","F","FAO estimate"
"QC","Crops","2","Afghanistan","5312","Area harvested","526","Apricots","2017","2017","ha","23890","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","526","Apricots","2017","2017","hg/ha","55175","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","526","Apricots","2017","2017","tonnes","131816","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","44","Barley","2017","2017","ha","68179","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","44","Barley","2017","2017","hg/ha","13933","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2017","2017","tonnes","94995","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","558","Berries nes","2017","2017","ha","3800","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","558","Berries nes","2017","2017","hg/ha","61030","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","558","Berries nes","2017","2017","tonnes","23191","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","569","Figs","2017","2017","ha","1623","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","569","Figs","2017","2017","hg/ha","36257","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","569","Figs","2017","2017","tonnes","5884","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","512","Fruit, citrus nes","2017","2017","ha","1643","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","512","Fruit, citrus nes","2017","2017","hg/ha","104632","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","512","Fruit, citrus nes","2017","2017","tonnes","17191","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","619","Fruit, fresh nes","2017","2017","ha","7519","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","619","Fruit, fresh nes","2017","2017","hg/ha","73209","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","619","Fruit, fresh nes","2017","2017","tonnes","55046","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","541","Fruit, stone nes","2017","2017","ha","7532","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","541","Fruit, stone nes","2017","2017","hg/ha","69850","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","541","Fruit, stone nes","2017","2017","tonnes","52611","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","560","Grapes","2017","2017","ha","87194","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","560","Grapes","2017","2017","hg/ha","109508","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2017","2017","tonnes","954845","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","333","Linseed","2017","2017","ha","1395","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","333","Linseed","2017","2017","hg/ha","4924","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","333","Linseed","2017","2017","tonnes","687","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","56","Maize","2017","2017","ha","134225","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","56","Maize","2017","2017","hg/ha","12957","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2017","2017","tonnes","173912","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2017","2017","ha","54406","","Official data"
"QC","Crops","2","Afghanistan","5419","Yield","568","Melons, other (inc.cantaloupes)","2017","2017","hg/ha","55689","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2017","2017","tonnes","302981","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","79","Millet","2017","2017","ha","2492","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5419","Yield","79","Millet","2017","2017","hg/ha","36274","Fc","Calculated data"
