,status,start_date,start_station,end_date,end_station,bike_nr,subsc_type,zip_code,birth_date,gender,id,start_hour,end_hour,start_weekday,end_weekday,trip_duration,age,start_coordinates,end_coordinates,start_municipal,end_municipal,start_latitude,start_longitude,end_latitude,end_longitude,stations_exist
9,Closed,2011-07-28 11:55:00,47.0,2011-07-28 12:13:00,40.0,B00550,REGISTERED,'01867,1994.0,Male,Ny8yOC8yMDExIDExOjU1OjAwOjcvMjgvMjAxMSAxMjoxMzowMDo0Ny4wOjQwLjA6QjAwNTUw,11,12,3,3,1080,25.0,"42.364779,-71.053461","42.3635056,-71.0502922",Boston,Boston,42.364779,-71.053461,42.3635056,-71.0502922,True
10,Closed,2011-07-28 11:55:00,47.0,2011-07-28 12:13:00,40.0,B00580,REGISTERED,'01867,1956.0,Male,Ny8yOC8yMDExIDExOjU1OjAwOjcvMjgvMjAxMSAxMjoxMzowMDo0Ny4wOjQwLjA6QjAwNTgw,11,12,3,3,1080,63.0,"42.364779,-71.053461","42.3635056,-71.0502922",Boston,Boston,42.364779,-71.053461,42.3635056,-71.0502922,True
11,Closed,2011-07-28 11:55:00,47.0,2011-07-28 12:12:00,40.0,B00539,REGISTERED,'01867,1959.0,Female,Ny8yOC8yMDExIDExOjU1OjAwOjcvMjgvMjAxMSAxMjoxMjowMDo0Ny4wOjQwLjA6QjAwNTM5,11,12,3,3,1020,60.0,"42.364779,-71.053461","42.3635056,-71.0502922",Boston,Boston,42.364779,-71.053461,42.3635056,-71.0502922,True
12,Closed,2011-07-28 12:00:00,40.0,2011-07-28 12:16:00,47.0,B00368,CASUAL,,0.0,No Gender,Ny8yOC8yMDExIDEyOjAwOjAwOjcvMjgvMjAxMSAxMjoxNjowMDo0MC4wOjQ3LjA6QjAwMzY4,12,12,3,3,960,2019.0,"42.3635056,-71.0502922","42.364779,-71.053461",Boston,Boston,42.3635056,-71.0502922,42.364779,-71.053461,True
13,Closed,2011-07-28 12:00:00,22.0,2011-07-28 12:00:00,22.0,B00442,REGISTERED,'02446,1982.0,Male,Ny8yOC8yMDExIDEyOjAwOjAwOjcvMjgvMjAxMSAxMjowMDowMDoyMi4wOjIyLjA6QjAwNDQy,12,12,3,3,0,37.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
15,Closed,2011-07-28 12:00:00,22.0,2011-07-28 12:01:00,22.0,B00316,REGISTERED,'02115,1960.0,Female,Ny8yOC8yMDExIDEyOjAwOjAwOjcvMjgvMjAxMSAxMjowMTowMDoyMi4wOjIyLjA6QjAwMzE2,12,12,3,3,60,59.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
16,Closed,2011-07-28 12:00:00,22.0,2011-07-28 12:21:00,45.0,B00454,REGISTERED,'02492,1975.0,Male,Ny8yOC8yMDExIDEyOjAwOjAwOjcvMjgvMjAxMSAxMjoyMTowMDoyMi4wOjQ1LjA6QjAwNDU0,12,12,3,3,1260,44.0,"47.89376835,3.10927507493543","42.3500548,-71.0774775",Boston,Boston,47.89376835,3.10927507493543,42.3500548,-71.0774775,True
17,Closed,2011-07-28 12:00:00,22.0,2011-07-28 12:00:00,22.0,B00404,REGISTERED,'02446,1956.0,Male,Ny8yOC8yMDExIDEyOjAwOjAwOjcvMjgvMjAxMSAxMjowMDowMDoyMi4wOjIyLjA6QjAwNDA0,12,12,3,3,0,63.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
21,Closed,2011-07-28 12:01:00,22.0,2011-07-28 12:17:00,44.0,B00487,REGISTERED,'02143,1971.0,Male,Ny8yOC8yMDExIDEyOjAxOjAwOjcvMjgvMjAxMSAxMjoxNzowMDoyMi4wOjQ0LjA6QjAwNDg3,12,12,3,3,960,48.0,"47.89376835,3.10927507493543","42.3600335,-71.05623415",Boston,Boston,47.89376835,3.10927507493543,42.3600335,-71.05623415,True
23,Closed,2011-07-28 12:01:00,22.0,2011-07-28 12:12:00,20.0,B00375,REGISTERED,'02474,1955.0,Female,Ny8yOC8yMDExIDEyOjAxOjAwOjcvMjgvMjAxMSAxMjoxMjowMDoyMi4wOjIwLjA6QjAwMzc1,12,12,3,3,660,64.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
24,Closed,2011-07-28 12:02:00,22.0,2011-07-28 12:02:00,22.0,B00275,REGISTERED,'02140,1971.0,Female,Ny8yOC8yMDExIDEyOjAyOjAwOjcvMjgvMjAxMSAxMjowMjowMDoyMi4wOjIyLjA6QjAwMjc1,12,12,3,3,0,48.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
27,Closed,2011-07-28 12:02:00,22.0,2011-07-28 12:02:00,22.0,B00137,REGISTERED,'01776,1949.0,Male,Ny8yOC8yMDExIDEyOjAyOjAwOjcvMjgvMjAxMSAxMjowMjowMDoyMi4wOjIyLjA6QjAwMTM3,12,12,3,3,0,70.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
28,Closed,2011-07-28 12:02:00,22.0,2011-07-28 12:02:00,22.0,B00082,REGISTERED,'01880,1968.0,Male,Ny8yOC8yMDExIDEyOjAyOjAwOjcvMjgvMjAxMSAxMjowMjowMDoyMi4wOjIyLjA6QjAwMDgy,12,12,3,3,0,51.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
31,Closed,2011-07-28 12:03:00,22.0,2011-07-28 12:26:00,25.0,B00404,REGISTERED,'02446,1982.0,Male,Ny8yOC8yMDExIDEyOjAzOjAwOjcvMjgvMjAxMSAxMjoyNjowMDoyMi4wOjI1LjA6QjAwNDA0,12,12,3,3,1380,37.0,"47.89376835,3.10927507493543","42.3582926,-71.0602525",Boston,Boston,47.89376835,3.10927507493543,42.3582926,-71.0602525,True
32,Closed,2011-07-28 12:03:00,22.0,2011-07-28 12:22:00,48.0,B00392,REGISTERED,'02144,1958.0,Male,Ny8yOC8yMDExIDEyOjAzOjAwOjcvMjgvMjAxMSAxMjoyMjowMDoyMi4wOjQ4LjA6QjAwMzky,12,12,3,3,1140,61.0,"47.89376835,3.10927507493543","42.3574875,-71.0563285",Boston,Boston,47.89376835,3.10927507493543,42.3574875,-71.0563285,True
33,Closed,2011-07-28 12:03:00,22.0,2011-07-28 12:04:00,22.0,B00198,REGISTERED,'02116,1976.0,Male,Ny8yOC8yMDExIDEyOjAzOjAwOjcvMjgvMjAxMSAxMjowNDowMDoyMi4wOjIyLjA6QjAwMTk4,12,12,3,3,60,43.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
34,Closed,2011-07-28 12:04:00,22.0,2011-07-28 12:32:00,36.0,B00316,REGISTERED,'02115,1960.0,Female,Ny8yOC8yMDExIDEyOjA0OjAwOjcvMjgvMjAxMSAxMjozMjowMDoyMi4wOjM2LjA6QjAwMzE2,12,12,3,3,1680,59.0,"47.89376835,3.10927507493543","42.3493269,-71.0786551908223",Boston,Boston,47.89376835,3.10927507493543,42.3493269,-71.0786551908223,True
35,Closed,2011-07-28 12:05:00,22.0,2011-07-28 12:37:00,31.0,B00069,REGISTERED,'02021,1951.0,Male,Ny8yOC8yMDExIDEyOjA1OjAwOjcvMjgvMjAxMSAxMjozNzowMDoyMi4wOjMxLjA6QjAwMDY5,12,12,3,3,1920,68.0,"47.89376835,3.10927507493543","42.3502036,-71.0427412",Boston,Boston,47.89376835,3.10927507493543,42.3502036,-71.0427412,True
36,Closed,2011-07-28 12:05:00,22.0,2011-07-28 12:38:00,31.0,B00298,REGISTERED,'02151,1987.0,Female,Ny8yOC8yMDExIDEyOjA1OjAwOjcvMjgvMjAxMSAxMjozODowMDoyMi4wOjMxLjA6QjAwMjk4,12,12,3,3,1980,32.0,"47.89376835,3.10927507493543","42.3502036,-71.0427412",Boston,Boston,47.89376835,3.10927507493543,42.3502036,-71.0427412,True
37,Closed,2011-07-28 12:06:00,22.0,2011-07-28 12:23:00,36.0,B00543,REGISTERED,'02116,1981.0,Female,Ny8yOC8yMDExIDEyOjA2OjAwOjcvMjgvMjAxMSAxMjoyMzowMDoyMi4wOjM2LjA6QjAwNTQz,12,12,3,3,1020,38.0,"47.89376835,3.10927507493543","42.3493269,-71.0786551908223",Boston,Boston,47.89376835,3.10927507493543,42.3493269,-71.0786551908223,True
38,Closed,2011-07-28 12:08:00,22.0,2011-07-28 12:23:00,42.0,B00189,REGISTERED,'02127,1968.0,Male,Ny8yOC8yMDExIDEyOjA4OjAwOjcvMjgvMjAxMSAxMjoyMzowMDoyMi4wOjQyLjA6QjAwMTg5,12,12,3,3,900,51.0,"47.89376835,3.10927507493543","42.3491713,-71.0695618",Boston,Boston,47.89376835,3.10927507493543,42.3491713,-71.0695618,True
