average_stars,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,compliment_profile,compliment_writer,cool,elite,fans,funny,name,useful,user_id,yelping_since
3.28,3091,54,3091,2045,84,222,1888,59,3432,208,2570,59766,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",1125,50899,Victor,79512,8k3aO-mPeyhbR5HUucA5aA,2007-12-08 14:56:45
3.85,157,7,157,94,7,19,129,9,167,3,96,2887,"2012,2013,2014,2015,2016,2017,2018",256,3405,Shila,9403,RtGqdDBvvBCjcu5dUqwfzA,2010-10-17 06:35:06
3.61,2502,21,2502,1907,66,436,924,1052,2749,337,1456,61383,"2010,2011,2012,2013,2014,2015,2016,2017,2018",528,49785,Bruce,74829,hWDybu_KvYLSdEFzGrniTw,2009-03-08 21:47:44
3.8,1154,47,1154,828,34,125,490,186,1052,104,466,20004,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",746,9827,Kim,25980,P5bUL3Engv-2z6kKohB6qQ,2006-05-31 21:27:42
3.49,98,4,98,36,14,23,137,78,220,7,68,3143,"2010,2011",282,3822,George,7973,8RcEwGrFIgkt9WQ35E6SnQ,2009-11-06 22:53:16
3.7,663,18,663,277,6,66,314,515,706,20,456,35978,"2012,2013,2014,2015,2016,2017,2018",750,23305,Nijole,45394,nmdkHL2JKFx55T3nq5VziA,2011-11-29 15:50:53
3.32,299,2,299,93,1,39,212,95,505,13,79,4848,,265,3447,Kenneth,7937,Xwnf20FKuikiHcSpcEbpKQ,2011-06-10 03:52:07
3.83,5429,111,5429,3032,40,361,1861,2276,4379,337,1371,82128,"2014,2015,2016,2017,2018",1574,86122,Fox,89418,Hi10sGSZNxQH3NLyWSZ1oA,2009-05-26 11:33:58
3.32,1606,67,1606,704,92,188,1321,1414,3629,37,446,12995,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",715,8823,Jennifer,20336,CxDOIDnH8gp9KXzpBHJYXw,2009-11-09 20:44:45
3.93,3642,113,3642,2110,233,185,1030,340,6679,246,1177,29941,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",410,20862,Eric,36902,HFECrzYDpgbS5EmTBtj2zQ,2007-03-28 19:08:35
3.81,741,14,741,473,73,86,232,105,532,25,207,7924,"2008,2009,2010,2011,2012",422,4051,Rob,12127,kS1MQHYwIfD0462PE61IBw,2007-08-25 01:33:28
3.46,125,3,125,72,2,10,57,7,76,8,49,2697,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",115,2008,Sunil,4410,IucvvxdQXXhjQ4z6Or6Nrw,2009-01-28 23:35:24
3.72,206,4,206,121,6,40,103,12,213,29,49,3239,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",191,2089,Andrew,5947,Xj0O2l0bp633ebmG468aZw,2005-07-18 06:22:37
3.95,929,26,929,543,64,72,642,122,1107,55,232,9299,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",383,3301,Neal,14249,XYSDrIef7g4Gmp3lNFVO6A,2007-07-19 00:22:51
3.85,3455,59,3455,1437,64,275,1675,1963,5371,72,1504,47149,"2012,2013,2014,2015,2016,2017,2018",1500,27141,Jack,58513,WG3w_73scm_JUWJ_3Lgn0Q,2011-06-29 22:41:05
3.66,2743,150,2743,2516,208,319,745,2158,1175,163,2351,44201,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",1780,39114,Ed,51201,m07sy7eLtOjVdZ8oN9JKag,2006-07-22 01:22:26
3.37,1635,33,1635,691,14,77,706,912,1497,56,690,30846,"2012,2013,2014,2015,2016,2017,2018",641,22790,Stefany,44667,bLbSNkLggFnqwNNzzq-Ijw,2011-06-29 14:40:01
3.88,801,13,801,305,52,75,442,634,656,43,663,16249,"2008,2010,2011,2012,2013,2014,2015",912,10209,Michael,22757,U4INQZOPSUaj8hMjLlZ3KA,2008-01-31 02:55:30
3.62,552,27,552,287,16,35,222,107,604,36,222,9505,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",404,4727,Jess,15324,wZPizeBxMAyOSl0M0zuCjg,2008-08-27 20:20:07
4.05,108,3,108,44,1,13,70,11,114,15,54,4792,"2010,2011,2012,2013,2014,2015,2016,2017,2018",183,2870,Jennifer,6669,cMEtAiW60I5wE_vLfTxoJQ,2009-05-02 20:13:36
3.28,974,39,974,662,9,70,320,166,520,61,410,9406,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",485,6584,Tina,15795,syvwUKQJ4OYfmL_ixVLMeQ,2008-06-30 12:39:30
3.95,114,9,114,75,4,13,44,10,84,11,53,2429,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",173,2065,Misha,3736,Eypq5gLLjCapBVVnMw_MyA,2007-10-29 08:53:07
3.74,171,0,171,83,0,7,37,36,147,3,100,7430,"2012,2013,2014,2015,2016,2017,2018",165,4055,Vincent,10532,bQCHF5rn5lMI9c5kEwCaNA,2012-03-18 10:04:51
3.45,2403,106,2403,1658,30,199,1169,283,1724,114,953,18747,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",706,11811,Anita,23653,nzsv-p1O8gCfP3XijfQrIw,2005-04-12 03:08:20
3.88,1561,66,1561,674,287,149,1027,178,1522,139,485,14142,"2009,2010,2011,2012,2013,2014",547,8669,David,20314,CQUDh80m48xnzUkx-X5NAw,2008-12-29 21:03:01
3.67,373,15,373,289,34,57,228,32,478,37,159,7350,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",462,4044,Karen,13160,_BcWyKQL16ndpBdggh2kNA,2008-05-29 12:29:54
3.72,2734,40,2734,1948,12,145,1515,1213,3136,102,1099,21930,"2013,2014,2015,2016,2017,2018",611,15649,Hannah,28051,GHoG4X4FY8D8L563zzPX5w,2012-08-22 10:40:50
3.69,143,6,143,97,6,43,117,28,220,8,142,7077,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",229,3405,Ian,14604,GwlrUwkULm4ZLN-Kum5nag,2007-02-20 01:24:12
3.76,327,9,327,84,2,21,197,61,284,34,165,8652,"2014,2015,2016,2017,2018",258,5967,Alden,12563,E_GAXhVA1_lVC2aFpMQElA,2009-09-03 05:31:33
3.6,483,12,483,237,14,71,331,197,607,44,286,8957,,391,7228,Greg,14794,FZTkBavnUWVQRK3ULOxePQ,2008-12-18 08:06:07
3.51,1358,20,1358,623,11,114,901,534,1682,66,776,16049,"2011,2012,2013,2014,2015,2016,2017,2018",395,10566,Marqus,25324,IwHLuykqqmGVNHJ_UCwXWg,2010-12-17 02:14:34
3.47,5729,127,5729,2912,222,336,3119,489,12022,354,1285,15866,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",1462,11031,Jando,22159,ysCBsXWPB-LAiewVS3jZfQ,2006-11-08 07:31:36
3.86,324,6,324,160,3,35,77,9,186,11,167,4469,"2007,2008,2009,2010,2011,2012,2013,2014,2015",261,3489,Jason,6078,WecuAsHBDZGj7Z6_sJcQAw,2006-10-18 23:42:54
4.19,829,68,829,770,63,83,229,115,591,56,903,17440,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",891,15788,Steph,21901,WWnhqRnWWjutMqh-2SzEuQ,2008-07-09 06:30:28
3.37,2183,203,2183,2565,71,255,697,1882,1502,321,1045,13634,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",415,9734,Hen,16502,JnGtgOPpkjyWOvWM0SYEXg,2006-03-29 18:19:32
3.57,4964,141,4964,3900,153,254,2336,950,7096,263,1820,26901,"2011,2012,2013,2014,2015,2016,2017,2018",701,22852,Phil,32849,YttDgOC9AlM4HcAlDsbB2A,2009-09-02 15:30:08
3.6,697,5,697,273,5,65,365,90,972,49,327,19230,"2013,2014,2015,2016,2017,2018",289,13711,Maria,24354,7JpPvfDAE_14vA1xgFOFjw,2008-04-26 22:22:26
3.7,2587,149,2587,904,169,233,1491,1074,5269,171,1332,18247,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",2132,9757,Daniel,30279,j14WgRoU_-2ZE1aw1dXrJg,2009-01-25 04:35:42
3.83,2632,393,2632,1974,159,183,1231,280,2189,193,636,15438,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",1152,8003,Miriam,19224,gjhzKWsqCIrpEd9pevbKZw,2005-09-21 16:54:53
3.76,226,15,226,67,12,11,74,47,132,9,165,3236,"2011,2012,2013,2014,2015,2016,2017,2018",285,3072,Kenny,5498,xJpvRrk04rb4rgWtMXaPUQ,2009-12-18 17:42:41
3.35,659,36,659,386,64,70,323,251,464,30,211,5743,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",415,2958,Ann,10852,08mOpJRCpZe3D8UHszP4FA,2006-01-25 01:38:45
3.65,1445,26,1445,1134,80,268,913,1500,1146,317,634,13471,,119,11147,PatrickJ,16349,whINg-cC-FiAv_ATDGMDTg,2012-08-25 15:08:58
3.94,1463,48,1463,870,10,62,396,457,1025,49,496,10339,"2010,2011,2012,2013,2014,2015,2016,2017,2018",205,6263,Jana,12666,g3HFkZgloxLQCvoJ5Zs5gg,2009-08-03 14:55:03
3.48,488,29,488,334,40,61,273,73,297,56,338,6147,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",349,5832,Sean,9933,P3usQcIegPCl-cdH4IDirg,2007-07-27 19:19:27
3.82,1262,94,1262,1309,30,127,352,122,677,75,561,9380,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",485,7042,Lorrie,13793,EiwxlbR8fb68lMgEXhcWKA,2008-11-07 23:53:03
3.72,429,27,429,207,42,53,130,51,207,44,206,4585,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",360,4315,Yi,8195,2HchhLgGj16aITZGVy0hqA,2008-01-12 00:14:16
3.66,1966,251,1966,2161,70,153,872,647,2105,243,644,11653,"2010,2011,2012,2013,2014,2015,2016,2017,2018",596,7765,Maria,14043,PkNs-Rw6MHQfu6j5pBZMMw,2009-09-28 06:41:24
3.59,47,0,47,26,1,5,46,26,58,2,18,1221,"2015,2016,2017,2018",94,869,Denise,2771,jpIGlAym6z88W2xzHiK5_A,2015-02-26 17:59:41
3.98,4325,338,4325,2317,340,362,2384,579,8654,335,1539,31778,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",2086,45625,Peter,41172,ITa3vh5ERI90G_WP4SmGUQ,2008-05-06 01:30:13
3.58,2192,47,2192,1935,31,133,570,1540,1150,136,832,32983,"2014,2015,2016,2017,2018",546,24960,Elena,38088,lLfcbYGTeVxQN5Ig0ompJg,2008-07-22 23:28:17
3.92,1068,77,1068,1016,40,107,349,257,741,85,401,15074,"2006,2007,2008,2009,2010,2011",472,9411,Shiho,19016,2l0O1EI1m0yWjFo2zSt71w,2005-07-02 01:59:55
3.09,13532,609,13532,10314,460,1635,5959,7337,7263,867,5398,83915,"2010,2011,2012",1051,78184,Maggie,89792,W7DHyQlY_kXls2iXt-_2Ag,2008-11-30 02:47:32
3.96,3442,376,3442,3532,163,286,1731,947,5399,307,1413,38957,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",2123,39914,Candice,47055,UsXqCXRZwSCSw0AT7y1uBg,2008-01-25 19:32:11
