YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2010,1,1,20397.0,OH,16,PSA Airlines Inc.,2,0.0,4719365.0,4719365.0,13743.0,0.0,0.0,13743.0,4733108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4719365.0,13743.0,4733108.0,0.0,10794066.0,10794066.0,62257.0,0.0,0.0,62257.0,10856323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10794066.0,62257.0,10856323.0
2010,1,1,20408.0,5V,3Z,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,192411.0,0.0,192411.0,0.0,0.0,0.0,0.0,192411.0,14941.0,0.0,14941.0,0.0,0.0,0.0,0.0,0.0,14941.0,207352.0,0.0,207352.0,700164.0,0.0,700164.0,0.0,0.0,0.0,0.0,700164.0,54369.0,0.0,54369.0,0.0,0.0,0.0,0.0,0.0,54369.0,754533.0,0.0,754533.0
2010,1,1,19917.0,5X,5X,United Parcel Service,3,0.0,28998000.0,28998000.0,9266000.0,14488000.0,2125000.0,25879000.0,54877000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28998000.0,25879000.0,54877000.0,0.0,62149000.0,62149000.0,20143000.0,31009000.0,4718000.0,55870000.0,118019000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62149000.0,55870000.0,118019000.0
2010,1,1,20007.0,5Y,5Y,Atlas Air Inc.,3,0.0,21075.0,21075.0,125085.0,262385.0,0.0,387470.0,408545.0,301401.0,1401730.0,1703131.0,3498323.0,4672555.0,2430887.0,4498703.0,15100468.0,16803599.0,1724206.0,15487938.0,17212144.0,0.0,54910.0,54910.0,318065.0,634331.0,0.0,952396.0,1007306.0,807755.0,3652153.0,4459908.0,8895515.0,11296181.0,6180995.0,12056524.0,38429215.0,42889123.0,4514818.0,39381611.0,43896429.0
2010,1,1,19874.0,8C,8C,Air Transport International,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2433157.0,2433157.0,0.0,0.0,65573.0,1151335.0,1216908.0,3650065.0,2433157.0,1216908.0,3650065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5659367.0,5659367.0,154290.0,0.0,154290.0,3069324.0,3377904.0,9037271.0,5659367.0,3377904.0,9037271.0
2010,1,1,20254.0,9L,9L,Colgan Air,2,0.0,1762803.0,1762803.0,0.0,0.0,0.0,0.0,1762803.0,0.0,31992.0,31992.0,0.0,0.0,0.0,0.0,0.0,31992.0,1794795.0,0.0,1794795.0,0.0,1869901.0,1869901.0,0.0,0.0,0.0,0.0,1869901.0,0.0,41604.0,41604.0,0.0,0.0,0.0,0.0,0.0,41604.0,1911505.0,0.0,1911505.0
2010,1,1,20190.0,9S,9S,Southern Air Inc.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739592.0,297781.0,6643.0,709378.0,1753394.0,1753394.0,0.0,1753394.0,1753394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696706.0,750784.0,20263.0,1997204.0,4464957.0,4464957.0,0.0,4464957.0,4464957.0
2010,1,1,19805.0,AA,AA,American Airlines Inc.,3,0.0,128336270.0,128336270.0,27833865.0,9944697.0,39748314.0,77526876.0,205863146.0,0.0,194779.0,194779.0,3078.0,0.0,31448.0,0.0,34526.0,229305.0,128531049.0,77561402.0,206092451.0,0.0,298476945.0,298476945.0,47286732.0,24213311.0,88347814.0,159847857.0,458324802.0,0.0,407735.0,407735.0,12980.0,0.0,60672.0,0.0,73652.0,481387.0,298884680.0,159921509.0,458806189.0
2010,1,1,20453.0,ABX,ABX,ABX Air Inc,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505326.0,0.0,0.0,0.0,505326.0,505326.0,0.0,505326.0,505326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132048.0,0.0,0.0,0.0,1132048.0,1132048.0,0.0,1132048.0,1132048.0
2010,1,1,20354.0,AJQ,AJQ,Aerodynamics Inc.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109817.0,109817.0,0.0,0.0,0.0,0.0,0.0,109817.0,109817.0,0.0,109817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317205.0,317205.0,0.0,0.0,0.0,0.0,0.0,317205.0,317205.0,0.0,317205.0
