UNIQUE_CARRIER,YEAR,MONTH,DAY,REVENUE,PROFIT,NET_EARNINGS,EPS_BASIC,EPS_DILUTED
AS,2006,03,31,735.4,-125.2,-79.1,-2.36,-2.36
AS,2006,06,30,873,80.1,55.5,1.46,1.38
AS,2006,09,30,935.7,-24,-17.4,-0.44,-0.44
AS,2006,12,31,790.3,-18.2,-11.6,-0.29,-0.29
AS,2007,03,31,759.4,-18.1,-10.3,-0.26,-0.26
AS,2007,06,30,904.4,77.7,46.1,1.14,1.13
AS,2007,09,30,988.8,137,81.8,2.02,2.01
AS,2007,12,31,853.4,15.4,7.4,0.19,0.19
AS,2008,03,31,829.5,-52,-37.3,-1.01,-1.01
AS,2008,06,30,930.8,106.5,63.1,1.75,1.74
AS,2008,09,30,1065.2,-120,-86.5,-2.4,-2.4
AS,2008,12,31,827.1,-106.7,-75.2,-2.08,-2.08
AS,2009,03,31,742.4,-11.9,-19.2,-0.53,-0.53
AS,2009,06,30,843.9,66.7,29.1,0.80,0.79
AS,2009,09,30,967.4,159.8,87.6,2.48,2.48
AS,2009,12,31,846.1,52.8,24.1,0.68,0.67
AS,2010,03,31,829.6,25.7,5.3,0.15,0.15
AS,2010,06,30,976.2,109.7,58.6,1.64,1.6
AS,2010,09,30,1068,216.9,122.4,3.41,3.32
AS,2010,12,31,958.5,119.3,64.8,1.8,1.75
AS,2011,03,31,965.2,133.8,74.2,2.06,2.01
AS,2011,06,30,1110.2,57.8,28.8,0.8,0.78
AS,2011,09,30,1198.1,143.2,77.5,2.15,2.12
AS,2011,12,31,1044.3,114.1,64,1.8,1.76
AS,2012,03,31,1039,72,41,0.57,0.56
AS,2012,06,30,1214,116,68,0.95,0.93
AS,2012,09,30,1272,269,163,2.3,2.27
AS,2012,12,31,1132,74,44,0.62,0.61
AS,2013,03,31,1133,64,37,0.52,0.51
AS,2013,06,30,1256,174,104,1.49,1.47
AS,2013,09,30,1557,470,289,4.13,4.08
AS,2013,12,31,1210,130,78,1.12,1.11
AS,2014,03,31,1222,141,94,0.69,0.68
AS,2014,06,30,1375,263,165,1.2,1.19
AS,2014,09,30,1465,316,198,1.47,1.45
AS,2014,12,31,1306,242,148,1.12,1.11
AS,2015,03,31,1269,238,149,1.13,1.12
AS,2015,06,30,1437,372,234,1.8,1.79
AS,2015,09,30,1515,433,274,2.15,2.14
AS,2015,12,31,1377,255,191,1.52,1.51
AS,2016,03,31,1347,290,184,1.47,1.46
AS,2016,06,30,1494,418,260,2.11,2.10
AS,2016,09,30,1566,400,256,2.08,2.07
AS,2016,12,31,1524,241,114,0.92,0.92
AS,2017,03,31,1749,166,99,0.8,0.79
AS,2017,06,30,2102,493,296,2.4,2.38
AS,2017,09,30,2120,439,266,2.15,2.14
AS,2017,12,31,1962,162,373,3.03,3.02
AS,2018,03,31,1832,29,4,0.03,0.03
AS,2018,06,30,2156,271,193,1.57,1.56
AS,2018,09,30,2212,297,217,1.76,1.75
AS,2018,12,31,2064,46,23,0.19,0.19
AS,2019,03,31,1876,25,4,0.03,0.03
AS,2019,06,30,2288,364,262,2.12,2.11
AS,2019,09,30,2389,422,322,2.61,2.6
AS,2019,12,31,2228,252,181,1.47,1.46
G4,2006,03,31,59.534,7.419,6.833,1.06,0.42
G4,2006,06,30,59.669,4.873,4.703,0.73,0.28
