Code,Description,LAT,LON
10001,"Afognak Lake, AK: Afognak Lake Airport",,
10003,"Granite Mountain, AK: Bear Creek Mining Strip",,
10004,"Lik, AK: Lik Mining Camp",,
10005,"Little Squaw, AK: Little Squaw Airport",29.3838847,-98.58618542585432
10006,"Kizhuyak, AK: Kizhuyak Bay",,
10007,"Klawock, AK: Klawock Seaplane Base",55.57910895,-133.07405023974576
10008,"Elizabeth Island, AK: Elizabeth Island Airport",45.401901200000005,-80.12580109999999
10009,"Homer, AK: Augustin Island",51.20991955,-58.65734963137882
10010,"Hudson, NY: Columbia County",42.29045015,-73.71160128274613
10011,"Peach Springs, AZ: Grand Canyon West",35.9879675,-113.81759111634555
10012,"Blairstown, NJ: Blairstown Airport",40.971208600000004,-74.99684029999999
10013,"Crosbyton, TX: Crosbyton Municipal",33.623696200000005,-101.2412605
10014,"Fairbanks/Ft. Wainwright, AK: Blair Lake",46.0974007,-90.16320040000001
10015,"Deadmans Bay, AK: Deadmans Bay Airport",23.178548899999996,-75.0883369563434
10016,"Hallo Bay, AK: Hallo Bay Airport",,
10017,"Red Lake, AK: Red Lake Airport",51.06810435,-93.78762992720274
10018,"Shell Lake, AK: Shell Lake Airport",45.73107875,-91.91978466457802
10019,"Kougarok, AK: Navigator Airstrip",,
10020,"Selawik, AK: Roland Norton Memorial",,
10021,"Pillar Bay, AK: Pillar Bay Airport",22.316087399999997,113.93647839996052
10022,"Johnstone Point, AK: Johnstone Point Airport",60.4816667,-146.5841667
10023,"Tikchik Lodge, AK: Tikchik Lodge Airport",59.9630556,-158.47722219999997
10024,"Bell Creek, AK: Bell Creek Airport",47.6361595,-52.9772061
10025,"Cinnabar, AK: Cinnabar Airport",29.498735999999997,-98.326202
10026,"Mountaintop Mine, AK: Mountaintop Mine Airport",,
10027,"Whitebear, AK: Whitebear Airport",,
10028,"Puviaq, AK: Puviaq Airport",70.71559909999999,-154.4069977
10029,"Arley Lake, AK: Arley Lake Airport",53.36883829999999,-2.4764095
10030,"Port Vita, AK: Port Vita Airport",48.730077,2.367664203322957
10031,"Kantishna, AK: Kantishna Airport",63.5404171,-150.9945408
10033,"Alpine, AK: Alpine Airstrip",70.343152,-150.94906155862316
10034,"Serpentine, AK: Serpentine Airport",-32.39521665,115.87125774243398
10035,"Driftwood Bay, AK: Driftwood Bay Airport",47.5810013,-116.77200320000001
10036,"Bradley Lake, AK: Bradley Lake Airport",43.0848069,-124.40875104286394
10037,"Chilkat Lake, AK: Chilkat Lake Airport",,
10038,"Nugget Creek, AK: Nugget Creek Airport",29.5263,-98.328187
10039,"Ivotuk, AK: Ivotuk Airstrip",,
10040,"Pogo Mines, AK: Pogo Mines Airport",,
10041,"Ayakulik River, AK: Ayakulik River Airport",,
