DATE,NY_GASOLINE_PRICE,US_GASOLINE_PRICE,YEAR,MONTH,KEROSENE_PRICE
1990-04-01,0.6,0.617,1990,4,0.54
1990-05-01,0.643,0.667,1990,5,0.515
1990-06-01,0.6459999999999999,0.613,1990,6,0.494
1990-07-01,0.653,0.602,1990,7,0.535
1990-08-01,0.897,0.866,1990,8,0.7909999999999999
1990-09-01,0.997,0.95,1990,9,1.012
1990-10-01,0.9570000000000001,0.898,1990,10,1.196
1990-11-01,0.879,0.8290000000000001,1990,11,0.971
1990-12-01,0.679,0.649,1990,12,0.8029999999999999
1991-01-01,0.688,0.6679999999999999,1991,1,0.741
1991-02-01,0.659,0.606,1991,2,0.637
1991-03-01,0.723,0.674,1991,3,0.5579999999999999
1991-04-01,0.72,0.706,1991,4,0.552
1991-05-01,0.701,0.693,1991,5,0.569
1991-06-01,0.635,0.615,1991,6,0.547
1991-07-01,0.652,0.634,1991,7,0.586
1991-08-01,0.6970000000000001,0.6709999999999999,1991,8,0.623
1991-09-01,0.621,0.6,1991,9,0.635
1991-10-01,0.645,0.618,1991,10,0.6709999999999999
1991-11-01,0.649,0.617,1991,11,0.645
1991-12-01,0.555,0.517,1991,12,0.522
1992-01-01,0.53,0.508,1992,1,0.509
1992-02-01,0.5529999999999999,0.536,1992,2,0.5429999999999999
1992-03-01,0.5710000000000001,0.5529999999999999,1992,3,0.514
1992-04-01,0.598,0.605,1992,4,0.5429999999999999
1992-05-01,0.634,0.633,1992,5,0.579
1992-06-01,0.645,0.64,1992,6,0.615
1992-07-01,0.6,0.5870000000000001,1992,7,0.611
1992-08-01,0.621,0.6,1992,8,0.59
1992-09-01,0.618,0.59,1992,9,0.623
1992-10-01,0.605,0.596,1992,10,0.621
1992-11-01,0.5820000000000001,0.54,1992,11,0.561
1992-12-01,0.5329999999999999,0.508,1992,12,0.544
1993-01-01,0.527,0.514,1993,1,0.534
1993-02-01,0.523,0.508,1993,2,0.5529999999999999
1993-03-01,0.54,0.5589999999999999,1993,3,0.5579999999999999
1993-04-01,0.594,0.598,1993,4,0.551
1993-05-01,0.594,0.601,1993,5,0.5529999999999999
1993-06-01,0.5479999999999999,0.5479999999999999,1993,6,0.526
1993-07-01,0.519,0.504,1993,7,0.494
1993-08-01,0.532,0.519,1993,8,0.501
1993-09-01,0.486,0.48100000000000004,1993,9,0.535
1993-10-01,0.503,0.483,1993,10,0.568
1993-11-01,0.444,0.426,1993,11,0.5329999999999999
1993-12-01,0.376,0.36200000000000004,1993,12,0.446
1994-01-01,0.42200000000000004,0.419,1994,1,0.528
1994-02-01,0.436,0.44,1994,2,0.501
1994-03-01,0.441,0.456,1994,3,0.451
1994-04-01,0.49,0.494,1994,4,0.469
1994-05-01,0.505,0.494,1994,5,0.47200000000000003
1994-06-01,0.528,0.528,1994,6,0.493
1994-07-01,0.545,0.544,1994,7,0.509
1994-08-01,0.555,0.544,1994,8,0.498
1994-09-01,0.46399999999999997,0.445,1994,9,0.49
1994-10-01,0.51,0.49200000000000005,1994,10,0.509
1994-11-01,0.52,0.465,1994,11,0.513
1994-12-01,0.46799999999999997,0.43200000000000005,1994,12,0.48700000000000004
1995-01-01,0.511,0.47700000000000004,1995,1,0.47200000000000003
1995-02-01,0.511,0.489,1995,2,0.467
1995-03-01,0.504,0.49,1995,3,0.449
1995-04-01,0.61,0.593,1995,4,0.5
1995-05-01,0.648,0.636,1995,5,0.511
1995-06-01,0.596,0.551,1995,6,0.478
1995-07-01,0.511,0.48,1995,7,0.467
