COUNT,DATE
153,2012-01-01
209,2012-01-02
223,2012-01-03
225,2012-01-04
168,2012-01-05
351,2012-01-06
149,2012-01-07
151,2012-01-08
316,2012-01-09
171,2012-01-10
263,2012-01-11
216,2012-01-12
229,2012-01-13
403,2012-01-14
180,2012-01-15
158,2012-01-16
269,2012-01-17
183,2012-01-18
213,2012-01-19
241,2012-01-20
565,2012-01-21
210,2012-01-22
635,2012-01-23
297,2012-01-24
221,2012-01-25
195,2012-01-26
439,2012-01-27
115,2012-01-28
176,2012-01-29
770,2012-01-30
277,2012-01-31
244,2012-02-01
290,2012-02-02
350,2012-02-03
161,2012-02-04
144,2012-02-05
418,2012-02-06
160,2012-02-07
185,2012-02-08
233,2012-02-09
294,2012-02-10
215,2012-02-11
151,2012-02-12
182,2012-02-13
207,2012-02-14
176,2012-02-15
192,2012-02-16
369,2012-02-17
206,2012-02-18
141,2012-02-19
252,2012-02-20
339,2012-02-21
225,2012-02-22
214,2012-02-23
266,2012-02-24
229,2012-02-25
164,2012-02-26
250,2012-02-27
236,2012-02-28
170,2012-02-29
262,2012-03-01
468,2012-03-02
1562,2012-03-03
945,2012-03-04
767,2012-03-05
846,2012-03-06
583,2012-03-07
498,2012-03-08
491,2012-03-09
456,2012-03-10
370,2012-03-11
483,2012-03-12
493,2012-03-13
417,2012-03-14
479,2012-03-15
515,2012-03-16
287,2012-03-17
389,2012-03-18
435,2012-03-19
465,2012-03-20
379,2012-03-21
378,2012-03-22
405,2012-03-23
189,2012-03-24
404,2012-03-25
355,2012-03-26
363,2012-03-27
328,2012-03-28
347,2012-03-29
424,2012-03-30
376,2012-03-31
297,2012-04-01
328,2012-04-02
435,2012-04-03
436,2012-04-04
287,2012-04-05
252,2012-04-06
222,2012-04-07
181,2012-04-08
289,2012-04-09
337,2012-04-10
356,2012-04-11
333,2012-04-12
358,2012-04-13
156,2012-04-14
294,2012-04-15
468,2012-04-16
274,2012-04-17
327,2012-04-18
330,2012-04-19
339,2012-04-20
227,2012-04-21
370,2012-04-22
783,2012-04-23
423,2012-04-24
361,2012-04-25
284,2012-04-26
336,2012-04-27
203,2012-04-28
197,2012-04-29
291,2012-04-30
341,2012-05-01
400,2012-05-02
413,2012-05-03
505,2012-05-04
244,2012-05-05
451,2012-05-06
471,2012-05-07
368,2012-05-08
344,2012-05-09
321,2012-05-10
246,2012-05-11
186,2012-05-12
192,2012-05-13
3084,2012-05-14
5239,2012-05-15
2669,2012-05-16
3231,2012-05-17
3234,2012-05-18
1303,2012-05-19
1226,2012-05-20
1555,2012-05-21
1370,2012-05-22
1327,2012-05-23
1037,2012-05-24
997,2012-05-25
683,2012-05-26
583,2012-05-27
856,2012-05-28
920,2012-05-29
1252,2012-05-30
592,2012-05-31
438,2012-06-01
314,2012-06-02
228,2012-06-03
420,2012-06-04
329,2012-06-05
388,2012-06-06
377,2012-06-07
491,2012-06-08
230,2012-06-09
229,2012-06-10
384,2012-06-11
412,2012-06-12
367,2012-06-13
383,2012-06-14
375,2012-06-15
236,2012-06-16
274,2012-06-17
511,2012-06-18
343,2012-06-19
415,2012-06-20
345,2012-06-21
503,2012-06-22
1417,2012-06-23
445,2012-06-24
653,2012-06-25
779,2012-06-26
782,2012-06-27
729,2012-06-28
472,2012-06-29
424,2012-06-30
383,2012-07-01
543,2012-07-02
292,2012-07-03
267,2012-07-04
275,2012-07-05
285,2012-07-06
231,2012-07-07
296,2012-07-08
502,2012-07-09
777,2012-07-10
420,2012-07-11
799,2012-07-12
690,2012-07-13
571,2012-07-14
488,2012-07-15
953,2012-07-16
595,2012-07-17
515,2012-07-18
824,2012-07-19
618,2012-07-20
396,2012-07-21
391,2012-07-22
622,2012-07-23
503,2012-07-24
385,2012-07-25
477,2012-07-26
645,2012-07-27
577,2012-07-28
375,2012-07-29
737,2012-07-30
1420,2012-07-31
740,2012-08-01
1096,2012-08-02
388,2012-08-03
318,2012-08-04
477,2012-08-05
532,2012-08-06
341,2012-08-07
281,2012-08-08
503,2012-08-09
731,2012-08-10
640,2012-08-11
475,2012-08-12
836,2012-08-13
1305,2012-08-14
1068,2012-08-15
601,2012-08-16
553,2012-08-17
460,2012-08-18
355,2012-08-19
619,2012-08-20
579,2012-08-21
555,2012-08-22
586,2012-08-23
649,2012-08-24
291,2012-08-25
353,2012-08-26
569,2012-08-27
1253,2012-08-28
552,2012-08-29
520,2012-08-30
465,2012-08-31
311,2012-09-01
196,2012-09-02
403,2012-09-03
454,2012-09-04
432,2012-09-05
511,2012-09-06
358,2012-09-07
334,2012-09-08
389,2012-09-09
533,2012-09-10
571,2012-09-11
259,2012-09-12
376,2012-09-13
400,2012-09-14
201,2012-09-15
378,2012-09-16
384,2012-09-17
318,2012-09-18
274,2012-09-19
367,2012-09-20
605,2012-09-21
370,2012-09-22
326,2012-09-23
602,2012-09-24
462,2012-09-25
437,2012-09-26
430,2012-09-27
1111,2012-09-28
362,2012-09-29
257,2012-09-30
396,2012-10-01
389,2012-10-02
600,2012-10-03
663,2012-10-04
352,2012-10-05
287,2012-10-06
314,2012-10-07
360,2012-10-08
239,2012-10-09
329,2012-10-10
425,2012-10-11
473,2012-10-12
282,2012-10-13
268,2012-10-14
469,2012-10-15
398,2012-10-16
285,2012-10-17
382,2012-10-18
466,2012-10-19
241,2012-10-20
258,2012-10-21
367,2012-10-22
358,2012-10-23
404,2012-10-24
395,2012-10-25
538,2012-10-26
496,2012-10-27
1586,2012-10-28
609,2012-10-29
518,2012-10-30
642,2012-10-31
530,2012-11-01
529,2012-11-02
374,2012-11-03
1308,2012-11-04
548,2012-11-05
492,2012-11-06
405,2012-11-07
358,2012-11-08
426,2012-11-09
372,2012-11-10
246,2012-11-11
333,2012-11-12
485,2012-11-13
484,2012-11-14
1685,2012-11-15
922,2012-11-16
430,2012-11-17
587,2012-11-18
326,2012-11-19
369,2012-11-20
632,2012-11-21
292,2012-11-22
287,2012-11-23
335,2012-11-24
215,2012-11-25
482,2012-11-26
342,2012-11-27
530,2012-11-28
397,2012-11-29
447,2012-11-30
316,2012-12-01
337,2012-12-02
1213,2012-12-03
536,2012-12-04
400,2012-12-05
463,2012-12-06
408,2012-12-07
301,2012-12-08
348,2012-12-09
600,2012-12-10
463,2012-12-11
434,2012-12-12
442,2012-12-13
489,2012-12-14
313,2012-12-15
386,2012-12-16
464,2012-12-17
495,2012-12-18
799,2012-12-19
786,2012-12-20
914,2012-12-21
3566,2012-12-22
966,2012-12-23
773,2012-12-24
580,2012-12-25
815,2012-12-26
818,2012-12-27
729,2012-12-28
835,2012-12-29
722,2012-12-30
535,2012-12-31
450,2013-01-01
528,2013-01-02
624,2013-01-03
571,2013-01-04
337,2013-01-05
331,2013-01-06
705,2013-01-07
543,2013-01-08
501,2013-01-09
388,2013-01-10
444,2013-01-11
475,2013-01-12
358,2013-01-13
432,2013-01-14
551,2013-01-15
922,2013-01-16
597,2013-01-17
540,2013-01-18
405,2013-01-19
471,2013-01-20
576,2013-01-21
434,2013-01-22
491,2013-01-23
481,2013-01-24
462,2013-01-25
293,2013-01-26
361,2013-01-27
547,2013-01-28
438,2013-01-29
456,2013-01-30
348,2013-01-31
447,2013-02-01
231,2013-02-02
669,2013-02-03
455,2013-02-04
494,2013-02-05
397,2013-02-06
597,2013-02-07
957,2013-02-08
361,2013-02-09
443,2013-02-10
588,2013-02-11
349,2013-02-12
333,2013-02-13
430,2013-02-14
410,2013-02-15
401,2013-02-16
408,2013-02-17
452,2013-02-18
528,2013-02-19
463,2013-02-20
734,2013-02-21
828,2013-02-22
455,2013-02-23
556,2013-02-24
553,2013-02-25
559,2013-02-26
549,2013-02-27
452,2013-02-28
492,2013-03-01
694,2013-03-02
519,2013-03-03
548,2013-03-04
686,2013-03-05
657,2013-03-06
967,2013-03-07
776,2013-03-08
481,2013-03-09
544,2013-03-10
557,2013-03-11
533,2013-03-12
592,2013-03-13
473,2013-03-14
535,2013-03-15
409,2013-03-16
570,2013-03-17
626,2013-03-18
699,2013-03-19
430,2013-03-20
618,2013-03-21
564,2013-03-22
440,2013-03-23
561,2013-03-24
749,2013-03-25
534,2013-03-26
379,2013-03-27
443,2013-03-28
318,2013-03-29
238,2013-03-30
264,2013-03-31
509,2013-04-01
478,2013-04-02
372,2013-04-03
355,2013-04-04
477,2013-04-05
482,2013-04-06
327,2013-04-07
770,2013-04-08
769,2013-04-09
607,2013-04-10
762,2013-04-11
700,2013-04-12
436,2013-04-13
624,2013-04-14
641,2013-04-15
448,2013-04-16
581,2013-04-17
993,2013-04-18
886,2013-04-19
1381,2013-04-20
1905,2013-04-21
1207,2013-04-22
899,2013-04-23
538,2013-04-24
774,2013-04-25
1198,2013-04-26
519,2013-04-27
365,2013-04-28
576,2013-04-29
397,2013-04-30
518,2013-05-01
854,2013-05-02
711,2013-05-03
500,2013-05-04
543,2013-05-05
417,2013-05-06
394,2013-05-07
675,2013-05-08
1178,2013-05-09
721,2013-05-10
459,2013-05-11
399,2013-05-12
625,2013-05-13
