ID,Date,Element,Data_Value
USW00012876,2009-05-20,TMIN,194
USW00012876,2006-12-18,TMIN,161
USC00084625,2015-02-07,TMIN,72
USC00084500,2014-11-02,TMAX,167
USC00084625,2006-07-16,TMAX,339
USW00012876,2011-05-27,TMAX,350
USC00083026,2005-04-26,TMIN,128
USC00085973,2015-10-01,TMAX,339
USC00085973,2014-02-12,TMAX,283
USC00084625,2009-09-14,TMAX,317
USC00084500,2014-10-03,TMIN,222
USC00084625,2015-02-07,TMAX,200
USC00084625,2010-07-05,TMAX,294
USC00084625,2006-01-17,TMIN,78
USC00085973,2007-07-21,TMAX,322
USC00089707,2006-11-21,TMAX,144
USC00084625,2005-09-10,TMIN,217
USC00084621,2015-11-15,TMAX,294
USC00084625,2010-07-05,TMIN,233
USC00084625,2006-07-16,TMIN,233
USC00084500,2015-06-05,TMAX,306
USC00083026,2006-02-10,TMAX,206
USC00084625,2014-06-16,TMAX,333
USW00012876,2013-11-27,TMIN,61
USC00084625,2014-06-20,TMAX,306
USW00012876,2008-08-19,TMAX,256
USC00084625,2008-03-12,TMAX,256
USW00012876,2013-12-22,TMAX,294
USW00012876,2009-12-28,TMIN,78
USC00084625,2008-03-27,TMAX,233
USW00012876,2005-11-23,TMIN,83
USW00012876,2006-06-15,TMIN,228
USC00085973,2007-07-21,TMIN,211
USC00089707,2005-03-12,TMIN,111
USW00012876,2015-05-28,TMIN,217
USC00089707,2005-02-16,TMIN,139
USC00084625,2014-06-16,TMIN,200
USW00012876,2011-10-22,TMIN,117
USW00012876,2011-10-22,TMAX,244
USC00084500,2014-02-05,TMIN,194
USW00012876,2009-12-28,TMAX,206
USC00084625,2015-08-02,TMIN,228
USC00084500,2014-02-05,TMAX,294
USC00084625,2012-11-17,TMIN,139
USC00084500,2011-12-06,TMIN,144
USC00085973,2006-05-09,TMIN,211
USC00084625,2011-12-24,TMIN,133
USC00084500,2011-12-06,TMAX,267
USC00084625,2011-11-16,TMAX,294
USC00084625,2011-12-24,TMAX,278
USW00012876,2006-06-11,TMAX,317
USC00084500,2011-04-19,TMIN,194
USC00084500,2014-11-16,TMAX,250
USW00012876,2013-11-15,TMAX,250
USC00085973,2005-09-30,TMIN,206
USC00085973,2006-04-27,TMAX,300
USC00085973,2008-06-03,TMAX,356
USC00085973,2014-02-12,TMIN,106
USW00012876,2009-08-05,TMIN,244
USC00084500,2013-04-11,TMIN,183
USC00085973,2013-01-01,TMIN,89
USC00084500,2015-03-29,TMIN,111
USC00084500,2013-06-18,TMAX,322
USC00089707,2006-10-21,TMIN,233
USW00012876,2014-02-15,TMIN,94
USW00012876,2006-06-11,TMIN,222
USW00012876,2011-05-16,TMAX,267
USW00012876,2009-10-30,TMIN,228
USW00012876,2005-04-05,TMAX,283
USC00084621,2015-12-26,TMAX,306
USC00084625,2012-10-17,TMAX,294
USW00012876,2007-03-06,TMAX,222
USC00085973,2005-06-19,TMAX,333
USC00084500,2013-01-10,TMAX,278
USW00012876,2006-04-13,TMAX,278
USC00083026,2006-06-02,TMIN,189
USC00084500,2013-04-11,TMAX,289
USC00083026,2006-06-02,TMAX,300
USC00084625,2008-03-14,TMAX,244
USC00084500,2011-07-05,TMAX,317
USC00085973,2006-10-17,TMIN,172
USC00085973,2005-02-11,TMAX,172
USW00012876,2009-08-05,TMAX,322
USW00012876,2008-12-25,TMIN,189
USW00012876,2010-06-24,TMAX,350
USC00089707,2006-04-17,TMAX,294
USC00083026,2008-10-04,TMAX,294
USC00085973,2008-11-19,TMIN,39
USW00012876,2007-03-06,TMIN,50
USC00085973,2011-05-31,TMIN,222
USW00012876,2006-10-22,TMAX,328
USC00084500,2015-06-05,TMIN,189
USC00084500,2012-12-21,TMAX,256
USC00084625,2015-05-09,TMAX,311
USC00084625,2005-05-04,TMIN,183
USW00012876,2008-12-25,TMAX,256
USW00012876,2007-12-07,TMAX,278
USC00085973,2012-05-16,TMIN,189
USC00084625,2005-12-31,TMIN,78
USC00085973,2013-04-20,TMIN,239
USC00084625,2015-05-09,TMIN,194
USC00089707,2006-12-11,TMIN,150
USC00084625,2015-01-02,TMAX,239
USC00084625,2010-10-30,TMAX,294
USW00012876,2014-02-15,TMAX,217
USC00084500,2013-10-06,TMAX,300
USC00085973,2011-02-21,TMIN,111
USC00084625,2009-09-06,TMIN,222
USC00083026,2008-10-04,TMIN,189
USW00012876,2006-12-18,TMAX,272
USC00085973,2009-01-01,TMAX,239
USC00084500,2013-10-06,TMIN,194
USC00083026,2008-03-13,TMAX,267
USW00012876,2007-06-08,TMIN,211
USC00085973,2006-11-25,TMIN,72
USW00012876,2015-05-23,TMAX,350
USC00084500,2013-06-18,TMIN,211
USC00084625,2005-01-09,TMAX,267
USC00084500,2011-04-19,TMAX,311
USC00085973,2011-09-14,TMAX,339
USC00085973,2005-09-30,TMAX,333
USC00083026,2009-08-05,TMIN,233
USC00084625,2005-12-31,TMAX,222
USC00085973,2013-01-01,TMAX,256
USW00012876,2013-11-15,TMIN,144
USC00083026,2006-02-10,TMIN,44
USC00084500,2012-08-08,TMAX,328
USC00084500,2015-03-29,TMAX,200
USC00085973,2006-10-06,TMIN,194
USC00084625,2013-08-23,TMAX,317
USW00012876,2014-12-06,TMIN,183
USC00085973,2011-02-21,TMAX,272
USC00085973,2015-04-16,TMAX,322
USC00084621,2015-12-15,TMIN,183
USC00089707,2006-04-17,TMIN,183
USC00084500,2011-09-05,TMAX,322
USW00012876,2006-04-13,TMIN,156
USC00084625,2012-07-08,TMIN,233
USW00012876,2012-05-27,TMIN,233
USC00083026,2007-10-28,TMAX,294
USW00012876,2012-04-17,TMAX,306
USC00085973,2006-03-04,TMIN,100
USC00083026,2009-10-02,TMAX,300
USC00084625,2011-01-06,TMAX,250
USW00012876,2012-04-17,TMIN,172
USC00085973,2007-03-16,TMAX,306
USC00089707,2005-08-18,TMAX,367
USC00089707,2005-08-18,TMIN,256
USC00085973,2007-03-16,TMIN,200
USC00089707,2006-09-06,TMIN,233
USC00089707,2006-12-29,TMIN,139
USC00084500,2012-06-15,TMAX,328
USC00089707,2005-12-03,TMIN,72
USC00085973,2015-03-18,TMAX,322
USC00085973,2012-05-16,TMAX,328
USW00012876,2013-10-14,TMAX,306
USC00084625,2012-11-18,TMAX,261
USC00083026,2009-09-27,TMIN,239
USC00085973,2011-02-07,TMAX,283
USC00085973,2008-04-24,TMAX,300
USC00085973,2014-03-14,TMAX,261
USC00084500,2014-09-10,TMIN,211
USW00012876,2006-03-17,TMIN,156
USC00084500,2014-09-10,TMAX,322
USC00085973,2008-04-24,TMIN,161
USC00083026,2009-09-27,TMAX,328
USC00089707,2006-01-09,TMIN,111
USC00085973,2013-03-16,TMAX,244
USC00084625,2013-03-20,TMAX,294
USC00084625,2008-03-08,TMIN,161
USW00012876,2013-10-14,TMIN,194
USW00012876,2005-06-05,TMAX,311
USC00084625,2008-03-28,TMAX,261
USC00085973,2011-09-14,TMIN,211
USC00085973,2006-02-06,TMAX,217
USC00083026,2005-12-10,TMAX,256
USW00012876,2013-06-23,TMIN,233
USW00012876,2011-12-19,TMIN,100
USC00084625,2013-03-20,TMIN,172
USW00012876,2006-10-22,TMIN,228
USC00085973,2008-11-21,TMAX,228
USW00012876,2011-07-18,TMAX,339
USC00085973,2014-07-18,TMIN,217
USC00085973,2015-10-01,TMIN,239
USC00084500,2011-07-29,TMAX,333
USC00085973,2005-06-19,TMIN,217
USC00085973,2005-03-07,TMIN,144
USW00012876,2005-11-23,TMAX,178
USC00084625,2010-10-30,TMIN,172
USC00085973,2013-05-14,TMIN,183
USW00012876,2008-05-19,TMIN,217
USC00089707,2007-07-04,TMAX,306
USC00084500,2014-05-18,TMAX,267
USC00084625,2015-01-22,TMAX,256
USC00084625,2005-01-09,TMIN,139
USW00012876,2011-05-16,TMIN,172
USC00085973,2006-10-17,TMAX,306
USC00084500,2014-05-18,TMIN,150
USC00084625,2008-03-28,TMIN,106
USC00084625,2015-01-22,TMIN,111
USC00085973,2011-11-07,TMAX,267
USC00085973,2014-07-18,TMAX,328
USC00085973,2013-05-23,TMIN,194
USC00089707,2006-11-13,TMIN,128
USC00083026,2007-08-16,TMIN,211
USC00089707,2006-10-21,TMAX,328
USW00012876,2005-02-03,TMIN,144
USW00012876,2006-03-17,TMAX,283
USC00085973,2014-03-14,TMIN,94
USW00012876,2013-03-22,TMAX,261
USC00085973,2014-11-05,TMIN,111
USW00012876,2008-07-06,TMIN,233
USC00089707,2006-12-29,TMAX,272
USC00083026,2008-03-14,TMAX,256
USC00085973,2014-12-10,TMIN,83
USC00084625,2005-10-01,TMAX,328
USC00083026,2009-10-02,TMIN,194
USC00084625,2013-08-23,TMIN,250
USC00084625,2005-12-05,TMIN,94
USW00012876,2013-06-23,TMAX,328
USC00089707,2007-08-09,TMIN,261
USW00012876,2014-12-06,TMAX,283
USC00089707,2005-07-15,TMIN,244
USC00084500,2012-08-08,TMIN,233
USC00083026,2006-03-24,TMIN,150
USC00084625,2013-11-14,TMIN,106
USC00089707,2005-07-15,TMAX,339
USC00084625,2011-09-11,TMIN,222
USC00089707,2006-07-27,TMAX,356
USC00083026,2008-12-03,TMIN,17
USC00084625,2008-03-27,TMIN,94
USC00084625,2014-09-04,TMIN,239
USC00089707,2005-02-16,TMAX,261
USC00084500,2015-01-08,TMIN,39
USW00012876,2010-05-18,TMAX,317
USC00084625,2007-01-03,TMIN,156
USC00084621,2015-12-15,TMAX,289
USC00089707,2006-08-24,TMIN,239
USW00012876,2013-02-16,TMAX,211
USC00084500,2011-09-05,TMIN,233
USC00084500,2011-07-05,TMIN,222
